Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:06:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:24:55 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:25:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:25:05 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:25:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:25:15 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:25:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:25:25 AM     all      0.40      0.00      0.60      0.00      0.00     98.99
02:25:30 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:25:35 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:25:40 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:25:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:25:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:25:55 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:26:00 AM     all      0.40      0.00      0.20      0.00      0.00     99.40
02:26:05 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:26:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:26:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:26:25 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:26:30 AM     all      0.40      0.00      0.00      0.00      0.00     99.60
02:26:35 AM     all      0.00      0.00      0.60      0.00      0.00     99.40
02:26:40 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:26:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:26:50 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:26:55 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:27:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:27:05 AM     all      0.20      0.00      0.60      0.00      0.00     99.20
02:27:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:15 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:27:20 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:27:25 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:27:30 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:27:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:27:40 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:27:45 AM     all      0.40      0.00      0.40      0.00      0.00     99.20
02:27:50 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:27:55 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:28:00 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:28:05 AM     all      0.20      0.00      0.60      0.00      0.00     99.20
02:28:10 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:20 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:28:25 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:28:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:28:35 AM     all      0.20      0.00      0.80      0.00      0.00     98.99
02:28:40 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:28:45 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:28:50 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:28:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:29:05 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:29:10 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:29:15 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:29:20 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:29:25 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:29:30 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:29:35 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:29:40 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:29:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:29:50 AM     all      0.20      0.00      0.40      0.00      0.00     99.40
02:29:55 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:30:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:30:05 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:30:10 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:30:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:30:20 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:30:25 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:30:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:30:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
02:30:40 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:30:45 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:30:50 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:30:55 AM     all      0.00      0.00      0.60      0.00      0.00     99.40
02:31:00 AM     all      0.20      0.00      0.20      0.00      0.00     99.60
02:31:05 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
02:31:10 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:31:15 AM     all      0.00      0.00      0.20      0.00      0.00     99.80
02:31:20 AM     all      0.20      0.00      0.00      0.00      0.00     99.80
02:31:25 AM     all      0.00      0.00      0.40      0.00      0.00     99.60
