Linux 5.4.0-77-generic (ubuntu-dev-01) 	08/15/2021 	_x86_64_	(1 CPU)

02:06:09 AM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
02:24:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:24:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:25:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:25 AM     ens33     21.96      1.20      7.51      0.22      0.00      0.00      0.00      0.01
02:25:30 AM     ens33      5.20      0.20      1.66      0.01      0.00      0.00      0.00      0.00
02:25:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:25:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:26:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:05 AM     ens33      1.00      0.00      0.19      0.00      0.00      0.00      0.00      0.00
02:26:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:20 AM     ens33      0.60      0.00      0.12      0.00      0.00      0.00      0.00      0.00
02:26:25 AM     ens33     22.16      1.20      7.52      0.22      0.00      0.00      0.00      0.01
02:26:30 AM     ens33      5.19      0.20      1.65      0.01      0.00      0.00      0.00      0.00
02:26:35 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:26:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:45 AM     ens33      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
02:26:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:26:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:27:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:27:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:27:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:27:15 AM     ens33      0.40      0.20      0.04      0.02      0.00      0.00      0.00      0.00
02:27:20 AM     ens33      0.60      0.40      0.05      0.02      0.00      0.00      0.00      0.00
02:27:25 AM     ens33     20.36      1.20      6.97      0.22      0.00      0.00      0.00      0.01
02:27:30 AM     ens33      6.60      0.00      2.18      0.00      0.00      0.00      0.00      0.00
02:27:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:27:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:27:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:27:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:27:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:28:00 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:28:05 AM     ens33      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:28:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:28:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:28:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:28:25 AM     ens33     22.80      1.20      7.60      0.22      0.00      0.00      0.00      0.01
02:28:30 AM     ens33      5.80      0.20      1.70      0.01      0.00      0.00      0.00      0.00
02:28:35 AM     ens33      2.20      0.20      0.20      0.01      0.00      0.00      0.00      0.00
02:28:40 AM     ens33      1.60      0.00      0.15      0.00      0.00      0.00      0.00      0.00
02:28:45 AM     ens33      1.40      0.00      0.13      0.00      0.00      0.00      0.00      0.00
02:28:50 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:28:55 AM     ens33      1.60      0.00      0.14      0.00      0.00      0.00      0.00      0.00
02:29:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:29:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:29:10 AM     ens33      0.60      0.00      0.06      0.00      0.00      0.00      0.00      0.00
02:29:15 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:29:20 AM     ens33      0.80      0.00      0.08      0.00      0.00      0.00      0.00      0.00
02:29:25 AM     ens33     20.40      1.20      6.98      0.22      0.00      0.00      0.00      0.01
02:29:30 AM     ens33      6.80      0.20      2.20      0.01      0.00      0.00      0.00      0.00
02:29:35 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:29:40 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:29:45 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:29:50 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:29:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:30:00 AM     ens33      0.40      0.00      0.07      0.00      0.00      0.00      0.00      0.00
02:30:05 AM     ens33      0.60      0.00      0.13      0.00      0.00      0.00      0.00      0.00
02:30:10 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:30:15 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:30:20 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:30:25 AM     ens33     20.40      1.20      6.98      0.22      0.00      0.00      0.00      0.01
02:30:30 AM     ens33      6.80      0.20      2.20      0.01      0.00      0.00      0.00      0.00
02:30:35 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:30:40 AM     ens33      0.20      0.20      0.02      0.01      0.00      0.00      0.00      0.00
02:30:45 AM     ens33      1.20      0.00      0.71      0.00      0.00      0.00      0.00      0.00
02:30:50 AM     ens33      0.60      0.00      0.30      0.00      0.00      0.00      0.00      0.00
02:30:55 AM     ens33      0.40      0.00      0.04      0.00      0.00      0.00      0.00      0.00
02:31:00 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
02:31:05 AM     ens33      0.20      0.00      0.02      0.00      0.00      0.00      0.00      0.00
